央视,#genre#
纯享4K,http://ott.js.chinamobile.com/TVOD/3/224/3221228242/index.m3u8
纯享4K,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
欢笑剧场4K,http://ott.js.chinamobile.com/TVOD/3/224/3221227715/index.m3u8
欢笑剧场4k,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
4K修复,http://ott.js.chinamobile.com/TVOD/3/224/3221228141/index.m3u8
爱上4K,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240282_1/playlist.m3u8?CONTENTID=00000110240282_1
CHC家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
喜剧影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240276_1/playlist.m3u8?CONTENTID=00000110240276_1
动作影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240277_1/playlist.m3u8?CONTENTID=00000110240277_1
家庭影院,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240278_1/playlist.m3u8?CONTENTID=00000110240278_1
星影,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240279_1/playlist.m3u8?CONTENTID=00000110240279_1
斗鱼电影1,http://dyscdnali1.douyucdn.cn/live/3637778raLSXdOdu.flv
斗鱼电影2,http://dyscdnali1.douyucdn.cn/live/122402rK7MO9bXSq.flv
斗鱼电影3,http://dyscdnali1.douyucdn.cn/live/85894rmovieChow.flv
斗鱼电影4,http://dyscdnali1.douyucdn.cn/live/3637765rrt97QwBF.flv
斗鱼电影5,http://dyscdnali1.douyucdn.cn/live/3637726rQLDdfto7.flv
斗鱼电影6,http://dyscdnali1.douyucdn.cn/live/3928r9p0BHMDG.flv
斗鱼电影7,http://dyscdnali1.douyucdn.cn/live/20415rnWbjg6Ex1K.flv
FOX MOVIES,http://211.23.114.106:8560/http/116.50.42.19:8081/hls/62/804/ch08.m3u8
卫视电影,http://211.23.114.106:8553/http/116.50.42.19:8081/hls/62/804/ch07.m3u8
好莱坞电影,http://211.23.114.106:8554/http/116.50.42.19:8081/hls/74/816/ch55.m3u8
纬来电影,http://211.23.114.106:8555/http/116.50.42.19:8081/hls/69/811/ch35.m3u8
龙华电影,http://211.23.114.106:8556/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
CHC家庭影院,http://39.134.18.65/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC高清电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC动作电影,http://39.134.18.66/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
国外影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_382971876_4000.flv
国内影院,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_199681168_4000.flv
经典剧场,http://111.6.242.36/txpcdn.liveplay.egame.qq.com/live/3954_616645877_4000.flv
美剧1,http://121.51.249.99/txdirect.hls.huya.com/src/1448738325-1448738325-6222283726336819200-3048991600-10057-A-0-1.m3u8
美剧2,http://121.51.249.99/txdirect.hls.huya.com/src/1099531752785-1099531752785-86436255486705664-2199063629026-10057-A-0-1.m3u8
悬疑,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
超级电影台,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
喜剧电影,http://hpull.kktv8.com/livekktv/99592190/playlist.m3u8
女神影院,http://hpull.kktv8.com/livekktv/99350550/playlist.m3u8
古龙作品集,http://117.148.179.160/PLTV/88888888/224/3221231657/index.m3u8
经典贺岁片,http://117.148.179.159/PLTV/88888888/224/3221231679/index.m3u8
吴京,http://120.233.116.115/tx.hls.huya.com/src/1524434090-1524434090-6547394561457520640-3048991636-10057-A-0-1.m3u8
成龙,http://120.233.116.115/tx.hls.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1-imgplus.m3u8
林正英,http://120.233.116.115/tx.hls.huya.com/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.m3u8
洪金宝,http://120.233.116.115/tx.hls.huya.com/src/1394575551-1394575551-5989656383346180096-2789274558-10057-A-0-1-imgplus.m3u8
周润发,http://120.233.116.115/tx.hls.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1-imgplus.m3u8
徐峥,http://120.233.116.115/tx.hls.huya.com/src/1524434085-1524434085-6547394539982684160-3048991626-10057-A-0-1.m3u8
刘德华,http://120.233.116.115/tx.hls.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.m3u8
甄子丹,http://120.233.116.115/tx.hls.huya.com/src/1423787820-1423787820-6115122123343134720-2847699096-10057-A-0-1-imgplus.m3u8
周星驰,http://120.233.116.115/tx.hls.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1-imgplus.m3u8
李连杰,http://120.233.116.115/tx.hls.huya.com/src/1394565196-1394565196-5989611908959830016-2789253848-10057-A-0-1-imgplus.m3u8
周润发,http://120.233.116.115/tx.hls.huya.com/src/1394565192-1394565192-5989611891779960832-2789253840-10057-A-0-1.m3u8
五福星,http://120.233.116.115/tx.hls.huya.com/src/1356780980-1356780980-5827329936934830080-2713685416-10057-A-0-1.m3u8
喜剧专场,http://120.233.116.115/tx.hls.huya.com/src/1448686695-1448686695-6222061977175326720-2847687574-10057-A-0-1.m3u8
邱淑贞王祖贤张曼玉,http://120.233.116.115/tx.hls.huya.com/src/1388451591-1388451591-5963354175424167936-2777026638-10057-A-0-1-imgplus.m3u8
李小龙,http://120.233.116.115/tx.hls.huya.com/src/1449588725-1449588725-6225936166525337600-3048959678-10057-A-0-1.m3u8
中国新相亲,http://120.233.116.115/tx.hls.huya.com/src/1449574865-1449574865-6225876638278615040-2847699130-10057-A-0-1.m3u8
女摔跤,http://120.233.116.115/tx.hls.huya.com/src/1524439830-1524439830-6547419214569799680-3049003116-10057-A-0-1.m3u8
刘德华,http://zzy789.xyz/douyu1.php?id=2516864
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
林正英,http://zzy789.xyz/douyu1.php?id=218859
星驰?星爷+华语+,http://zzy789.xyz/douyu1.php?id=122402
周末电影院2,http://zzy789.xyz/douyu1.php?id=3637765
周末电影院,http://zzy789.xyz/douyu1.php?id=3637726
特辑电影院,http://zzy789.xyz/douyu1.php?id=3637778
橙幕港片,http://zzy789.xyz/douyu1.php?id=4549169
天堂电影1,http://zzy789.xyz/douyu1.php?id=9573592
狄仁杰,http://zzy789.xyz/douyu1.php?id=674441
万合出品+【万合天宜】王大锤情怀上线,http://zzy789.xyz/douyu1.php?id=9220456
丶小跟班丿瑶瑶+【瑶瑶】童年阴影+鬼片+恐怖+惊...,http://zzy789.xyz/douyu1.php?id=2935323
龙飞凤舞宝藏号+【龙门】天山勾地火，宝塔镇蛇妖,http://zzy789.xyz/douyu1.php?id=9650860
胧七雾+【苏大强】小日子里的爱恨情仇,http://zzy789.xyz/douyu1.php?id=9435180
狂仔酷炫+【贝爷影厅】经典+科幻+动作+灾难+巨...,http://zzy789.xyz/douyu1.php?id=252802
壹颗小丸子+?丸子?经典国产大片，24小时看不停,http://zzy789.xyz/douyu1.php?id=8986148
一只究极蓝霸虎+【豆瓣高分】史上最佳影片大放送,http://zzy789.xyz/douyu1.php?id=8770422
影视集装箱+【宇哥】极限惊悚，无限反转,http://zzy789.xyz/douyu1.php?id=8651489
,http://zzy789.xyz/douyu1.php?id=10240510
Poison丶冰冰+??冰冰??恐怖/经典/搞笑...,http://zzy789.xyz/douyu1.php?id=74374
芊珏ovo+【霍格沃茨】伟大引起嫉妒，嫉妒导致怨...,http://zzy789.xyz/douyu1.php?id=8814650
当燕双鹰遇见李元芳+杀死燕双鹰，活捉狄仁杰！,http://zzy789.xyz/douyu1.php?id=3439096
微醺小白+【朱棣】笑天下可笑之人,http://zzy789.xyz/douyu1.php?id=308752
四处流浪的道长丶+【德善】所谓胡同就是，用时间来...,http://zzy789.xyz/douyu1.php?id=8600645
岁在辛巳+【西游】由爱故生怨，怨恨交缠，那又何苦,http://zzy789.xyz/douyu1.php?id=9518204
小猪优版剧院+跟着小猪一起看【热剧联播】,http://zzy789.xyz/douyu1.php?id=10297898
佳佳的全世界+【逃出监狱】兄弟情，是真的,http://zzy789.xyz/douyu1.php?id=7575350
春卷大师+【花卷陪看】60帧豆瓣高分电影,http://zzy789.xyz/douyu1.php?id=52787
兔子的爆米花+【刘德华】24小时看不停,http://zzy789.xyz/douyu1.php?id=8985415
诃德先生+【宋江】梁园虽好_不是久恋之家,http://zzy789.xyz/douyu1.php?id=3758762
ryandradian+【樊胜美】天下无不散宴席...,http://zzy789.xyz/douyu1.php?id=3756989
鱼宝好困+【恐怖】经典+恐怖+鬼怪+剧场,http://zzy789.xyz/douyu1.php?id=1165374
UU娇哒哒呀+??小U??丧尸+鬼片+恐怖+惊悚...,http://zzy789.xyz/douyu1.php?id=96577
睡不着的小圆子+?圆子?纯系初恋+电视剧+电影+...,http://zzy789.xyz/douyu1.php?id=6566658
体育,#genre#
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
秒开测试_  ,#genre#
